prompt_id,kind,layer,h_norm,natural_scale,natural_scale_std,natural_rel_norm,natural_cos_mean,natural_cos_refusal_dir,between_prompt_distance_mean
harmful_01,harmful,12,15.222260475158691,2.3884479999542236,0.8742459416389465,0.15690495073795319,0.9863265752792358,0.11562567949295044,4.301666736602783
harmful_01,harmful,18,32.53249740600586,6.001615524291992,3.2828962802886963,0.18448062241077423,0.9794772267341614,0.4061906337738037,12.549567222595215
harmful_02,harmful,12,14.916688919067383,2.1218039989471436,0.8143433332443237,0.1422436386346817,0.988686203956604,0.09960304945707321,4.301666736602783
harmful_02,harmful,18,33.71134948730469,5.092955589294434,2.7203786373138428,0.15107539296150208,0.9863243103027344,0.29050400853157043,12.549567222595215
harmful_03,harmful,12,15.074191093444824,2.330566883087158,1.0984452962875366,0.154606431722641,0.9858574867248535,0.16523857414722443,4.301666736602783
harmful_03,harmful,18,33.000221252441406,5.256067752838135,3.0746660232543945,0.15927371382713318,0.9847471117973328,0.17867818474769592,12.549567222595215
harmful_04,harmful,12,15.375921249389648,2.353083610534668,0.9546834230422974,0.1530369222164154,0.986689567565918,0.1260174810886383,4.301666736602783
harmful_04,harmful,18,33.73570251464844,4.934235095977783,2.709064245223999,0.14626151323318481,0.9869731664657593,0.21595898270606995,12.549567222595215
harmful_05,harmful,12,15.30623722076416,2.3798234462738037,0.5804837346076965,0.15548063814640045,0.9873515963554382,0.11181344836950302,4.301666736602783
harmful_05,harmful,18,33.49369430541992,5.084625720977783,2.3070147037506104,0.15180844068527222,0.9867388010025024,0.11808128654956818,12.549567222595215
harmful_06,harmful,12,15.606569290161133,2.2168078422546387,0.877700924873352,0.14204324781894684,0.9886868596076965,0.07669128477573395,4.301666736602783
harmful_06,harmful,18,32.4634895324707,5.085012435913086,3.1852283477783203,0.15663789212703705,0.9843711853027344,0.32538533210754395,12.549567222595215
harmful_07,harmful,12,14.709752082824707,2.5633490085601807,0.9670922756195068,0.1742618829011917,0.9836079478263855,0.09207256138324738,4.301666736602783
harmful_07,harmful,18,33.834930419921875,5.791466236114502,2.8052191734313965,0.1711682677268982,0.9832348823547363,0.1899515837430954,12.549567222595215
harmful_08,harmful,12,15.929014205932617,2.3888754844665527,1.0127860307693481,0.14997006952762604,0.9873400926589966,0.2143123596906662,4.301666736602783
harmful_08,harmful,18,32.228973388671875,5.799433708190918,3.7196338176727295,0.1799447238445282,0.9797815084457397,0.222591832280159,12.549567222595215
harmful_09,harmful,12,14.86388111114502,2.116767168045044,0.7971320748329163,0.14241012930870056,0.9886950254440308,0.1339823305606842,4.301666736602783
harmful_09,harmful,18,33.43989562988281,5.002882957458496,3.6306214332580566,0.14960820972919464,0.9844223856925964,0.24723760783672333,12.549567222595215
harmful_10,harmful,12,14.92960262298584,2.2306716442108154,0.49468377232551575,0.14941266179084778,0.9883710741996765,0.10177081823348999,4.301666736602783
harmful_10,harmful,18,32.8693962097168,4.843203544616699,2.4919052124023438,0.14734689891338348,0.9874699711799622,0.1546991765499115,12.549567222595215
harmless_01,harmless,12,15.466197967529297,2.1661598682403564,0.9015568494796753,0.14005768299102783,0.9888097047805786,0.0644703358411789,4.301666736602783
harmless_01,harmless,18,33.25388717651367,6.255000114440918,4.7823052406311035,0.18809831142425537,0.9751378297805786,0.11158213764429092,12.549567222595215
harmless_02,harmless,12,15.160818099975586,2.2161121368408203,0.7518534660339355,0.1461736559867859,0.988307774066925,0.08787618577480316,4.301666736602783
harmless_02,harmless,18,32.158382415771484,6.452317714691162,4.995545387268066,0.20064185559749603,0.9719934463500977,0.14862500131130219,12.549567222595215
harmless_03,harmless,12,14.900861740112305,2.2228140830993652,0.5530819296836853,0.1491735279560089,0.9883818626403809,0.034256696701049805,4.301666736602783
harmless_03,harmless,18,32.97055435180664,5.999803066253662,4.318667411804199,0.1819745898246765,0.9779141545295715,0.09739408642053604,12.549567222595215
harmless_04,harmless,12,15.246100425720215,2.2930102348327637,0.7331036925315857,0.15039978921413422,0.9876919984817505,0.11436201632022858,4.301666736602783
harmless_04,harmless,18,32.517024993896484,7.165953159332275,5.005370140075684,0.2203754186630249,0.9674274325370789,0.16624026000499725,12.549567222595215
harmless_05,harmless,12,14.970824241638184,2.2324728965759277,0.9275853633880615,0.14912158250808716,0.9873374700546265,0.11848270893096924,4.301666736602783
harmless_05,harmless,18,32.25657653808594,6.522627353668213,4.670422077178955,0.20221076905727386,0.9733610153198242,0.1758424937725067,12.549567222595215
